"No.","Name","DirectoryName","FileType","Size","Last-Modified-Date"
"1",".wgetrc","downloader","File","152","2015/05/04-12:50:22"
"2",".curlrc","downloader","File","111","2015/05/04-12:50:22"
"3",".vimrc.d","editor","Directory","40K","2015/05/15-01:58:43"
"4",".vimshrc","editor","File","332","2015/05/04-12:50:22"
"5",".vimrc","editor","File","160","2015/05/04-13:14:18"
"6",".vim","editor","Directory","1.6M","2015/05/15-01:58:43"
"7",".emacs.d","editor","Directory","20K","2015/05/15-01:58:43"
"8",".vimrc.plugin.d","editor","Directory","44K","2015/05/15-01:58:43"
"9",".nanorc","editor","File","84","2015/05/04-12:50:22"
"10",".gitconfig.aliases","git","File","3.4K","2015/05/04-12:50:22"
"11",".gitignore.global","git","File","581","2015/05/04-12:50:22"
"12",".gitattributes.global","git","File","210","2015/05/04-12:50:22"
"13",".gitconfig","git","File","498","2015/05/04-12:50:22"
"14",".screenrc","mux","File","20","2015/05/04-12:50:22"
"15",".tmux.conf","mux","File","2.4K","2015/05/04-12:50:22"
"16",".inputrc","others","File","2.6K","2015/05/04-12:50:22"
"17",".local.d","others","Directory","36K","2015/05/15-01:58:44"
"18",".minttyrc","others","File","341","2015/05/04-12:50:22"
"19",".minttyrc.cmd","others","File","340","2015/05/04-12:50:22"
"20",".zshenv","shell","File","64","2015/05/04-12:50:22"
"21",".zshrc.d","shell","Directory","48K","2015/05/15-01:58:44"
"22",".bashrc.d","shell","Directory","16K","2015/05/15-01:58:44"
"23",".shrc.d","shell","Directory","32K","2015/05/15-01:58:44"
"24",".zshrc.plugin.d","shell","Directory","24K","2015/05/15-01:58:44"
"25",".hushlogin","shell","File","0","2015/05/04-12:50:22"
"26",".bash","shell","Directory","8.0K","2015/05/15-01:58:44"
"27",".zsh","shell","Directory","124K","2015/05/15-02:05:52"
"28",".bash_profile","shell","File","86","2015/05/04-12:50:22"
"29",".zshrc.function.d","shell","Directory","24K","2015/05/15-01:58:44"
"30",".bashrc","shell","File","254","2015/05/04-12:50:22"
